id,name,intelligence,strength,speed,durability,power,combat,full_name,publisher,alignment,gender,eye_color,hair_color,url,height_cm,weight_kg
12,Air-Walker,50,85,100,85,100,40,Gabriel Lan,Marvel Comics,Bad,Male,Blue,White,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg,188,108
13,Ajax,56,48,35,80,34,55,Francis,Marvel Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg,193,90
14,Alan Scott,63,80,23,90,100,32,Alan Ladd Wellington Scott,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg,180,90
15,Alex Mercer,50,80,42,90,100,50,Alexander J. Mercer,Wildstorm,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg,NA,NA
16,Alex Woolsly,NA,37,NA,NA,NA,NA,Alex Woolsly,Nbc - Heroes,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg,NA,NA
17,Alfred Pennyworth,63,10,17,10,7,55,Alfred Thaddeus Crane Pennyworth,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg,178,72
18,Alien,50,28,42,90,57,60,Xenomorph,Dark Horse Comics,Bad,Male,NA,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg,244,169
19,Allan Quatermain,NA,NA,NA,NA,NA,NA,NA,Wildstorm,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg,NA,NA
20,Amazo,63,100,83,100,100,100,NA,Dc Comics,Bad,Male,Red,NA,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg,257,173
21,Ammo,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg,188,101
22,Ando Masahashi,NA,NA,NA,NA,NA,NA,Ando Masahashi,Nbc - Heroes,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg,NA,NA
23,Angel,75,30,58,90,100,75,Liam,Dark Horse Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg,NA,NA
24,Angel,63,13,46,64,28,42,Warren Kenneth Worthington Iii,Others,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg,183,68
25,Angel Dust,38,55,23,42,17,30,Christina,Marvel Comics,Good,Female,Yellow,Black,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg,165,57
26,Angel Salvadore,38,10,28,28,56,60,Angel Salvadore Bohusk,Others,Good,Female,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg,163,54
27,Angela,NA,97,NA,NA,NA,NA,NA,Image Comics,Bad,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg,NA,NA
28,Animal Man,56,48,47,85,73,80,Bernhard Baker,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg,183,83
29,Annihilus,75,80,47,56,59,64,Annihilus,Marvel Comics,Bad,Male,Green,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg,180,90
30,Ant-Man,100,18,23,28,32,32,Hank Pym,Others,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg,211,122
31,Ant-Man Ii,75,18,17,40,53,30,Scott Lang,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg,183,86
32,Anti-Monitor,88,100,50,100,100,90,NA,Dc Comics,Bad,Male,Yellow,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg,NA,NA
33,Anti-Spawn,NA,58,NA,NA,NA,NA,Jason Wynn,Image Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg,NA,NA
34,Anti-Venom,75,60,65,90,96,84,Eddie Brock,Others,NA,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg,229,358
35,Apocalypse,100,100,33,100,100,60,En Sabah Nur,Marvel Comics,Bad,Male,Red,Black,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg,213,135
36,Aquababy,10,16,12,14,37,14,"Arthur Curry, Jr.",Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg,NA,NA
37,Aqualad,63,44,42,75,89,60,Garth,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg,178,106
38,Aquaman,81,85,79,80,100,80,Orin,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg,185,146
39,Arachne,50,48,50,70,71,70,Julia Carpenter,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg,175,63
40,Archangel,63,13,58,64,35,42,Warren Kenneth Worthington Iii,Others,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg,183,68
41,Arclight,38,63,23,42,52,70,Philippa Sontag,Marvel Comics,Bad,Female,Violet,Purple,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg,173,57
42,Ardina,63,100,100,80,100,25,Ardina,Marvel Comics,Good,Female,White,Orange,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg,193,98
43,Ares,75,82,35,80,84,101,NA,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg,185,270
44,Ariel,50,10,12,14,94,28,Ariel,Marvel Comics,Good,Female,Purple,Others,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg,165,59
45,Armor,50,63,12,80,55,54,Hisako Ichiki,Marvel Comics,Good,Female,Black,Black,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg,163,50
46,Arsenal,NA,54,NA,NA,NA,NA,"Roy William Harper, Jr.",Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg,NA,NA
47,Astro Boy,NA,90,NA,NA,NA,NA,Atom,NA,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg,NA,NA
48,Atlas,63,80,25,100,98,50,Erik Josten,Goliath,Good,Male,Brown,Red,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg,183,101
49,Atlas,63,100,42,100,27,80,NA,Dc Comics,Bad,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg,198,126
50,Atom,NA,NA,NA,NA,NA,NA,Albert Pratt,Dc Comics,Good,Male,Blue,Red,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg,178,68
51,Atom,NA,NA,NA,NA,NA,NA,NA,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg,NA,NA
52,Atom Girl,38,10,23,28,38,42,Salu Digby,Dc Comics,Good,Female,Black,Black,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg,168,54
53,Atom Ii,88,10,33,45,40,60,Ray Palmer,Dc Comics,Good,Male,Brown,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg,183,81
54,Atom Iii,NA,NA,NA,NA,NA,NA,Adam Cray,Dc Comics,Good,Male,NA,Red,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg,NA,NA
55,Atom Iv,NA,NA,NA,NA,NA,NA,Ryan Choi,Dc Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg,NA,72
56,Aurora,63,10,96,60,74,56,Jeanne-Marie Beaubier,Marvel Comics,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg,180,63
57,Azazel,50,11,47,95,100,80,NA,Marvel Comics,Bad,Male,Yellow,Black,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg,183,67
58,Azrael,63,18,17,20,35,80,Michael Washington Lane,Dc Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg,NA,NA
59,Aztar,NA,98,NA,NA,NA,NA,Aztar,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg,NA,NA
60,Bane,88,38,23,56,51,95,NA,Dc Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg,203,180
61,Banshee,50,10,58,40,63,70,Sean Cassidy,Marvel Comics,Good,Male,Green,Strawberry Blond,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg,183,77
62,Bantam,25,53,23,54,21,56,Roberto Velasquez,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg,165,54
63,Batgirl,88,11,33,40,34,90,Barbara Gordon,Others,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg,170,57
64,Batgirl,NA,27,NA,NA,NA,NA,Mary Elizabeth Kane,Others,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg,NA,NA
65,Batgirl Iii,NA,43,NA,NA,NA,NA,Helena Rosa Bertinelli,Others,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg,NA,NA
66,Batgirl Iv,69,12,27,56,46,100,Cassandra Cain,Dc Comics,Good,Female,Green,Black,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg,165,52
67,Batgirl V,NA,NA,NA,NA,NA,NA,Charlotte Gage-Radcliffe,Others,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg,NA,NA
68,Batgirl Vi,75,10,23,28,22,80,Stephanie Brown,Others,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg,168,61
69,Batman,81,40,29,55,63,90,Terry Mcginnis,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg,178,77
70,Batman,100,26,27,50,47,100,Bruce Wayne,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg,188,95
71,Batman Ii,88,11,33,28,36,100,Dick Grayson,Others,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg,178,79
72,Battlestar,50,53,35,74,48,74,Lemar Hoskins,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg,198,133
73,Batwoman V,81,8,29,25,27,80,Katherine Rebecca Kane,Dc Comics,Good,Female,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg,178,NA
74,Beak,NA,NA,NA,NA,NA,NA,Barnell Bohusk,Marvel Comics,Good,Male,Black,White,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg,175,63
75,Beast,94,48,38,60,43,85,Henry Philip Mccoy,Marvel Comics,Good,Male,Blue,Blue,https://www.superherodb.com/pictures2/portraits/10/100/27.jpg,180,181
76,Beast Boy,50,28,50,70,79,40,Garfield Mark Logan,Dc Comics,Good,Male,Green,Green,https://www.superherodb.com/pictures2/portraits/10/100/640.jpg,173,68
77,Beetle,NA,54,NA,NA,NA,NA,NA,Marvel Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg,NA,NA
78,Ben 10,10,7,8,10,90,40,Benjamin Kirby Tennyson,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg,NA,NA
79,Beta Ray Bill,63,80,35,95,100,84,Beta Ray Bill (Translation Of His Korbinite Name),Marvel Comics,Good,Male,NA,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg,201,216
80,Beyonder,100,100,100,100,100,84,NA,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg,NA,NA
81,Big Barda,88,100,79,100,100,100,Barda Free,Dc Comics,Bad,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg,188,135
82,Big Daddy,38,10,12,32,22,64,Damon Macready,Icon Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg,NA,NA
83,Big Man,75,12,23,28,19,70,Frederick Foswell,Marvel Comics,Bad,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg,165,71
84,Bill Harken,63,36,33,60,27,40,NA,Syfy,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg,NA,NA
85,Billy Kincaid,NA,NA,NA,NA,NA,NA,Billy Kincaid,Image Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg,NA,NA
86,Binary,NA,NA,NA,NA,NA,NA,Carol Danvers,Others,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/30.jpg,180,54
87,Bionic Woman,56,37,33,40,20,40,Jamie Sommers,NA,Good,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg,NA,NA
88,Bird-Brain,25,10,35,28,21,42,NA,Marvel Comics,Good,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg,NA,NA
89,Bird-Man,NA,NA,NA,NA,NA,NA,Henry Hawk,Marvel Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg,NA,NA
90,Bird-Man Ii,NA,NA,NA,NA,NA,NA,Achille Dibacco,Marvel Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg,NA,NA
91,Birdman,NA,35,NA,NA,NA,NA,Ray Randal,Others,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg,NA,NA
92,Bishop,63,14,23,75,100,65,Lucas Bishop,Marvel Comics,Good,Male,Brown,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/31.jpg,198,124
93,Bizarro,38,95,100,100,100,85,Bizarro,Dc Comics,Neutral,Male,Black,Black,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg,191,155
94,Black Abbott,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Bad,Male,Red,Black,https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg,NA,NA
95,Black Adam,88,100,92,100,100,56,Teth-Adam,Dc Comics,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg,191,113
96,Black Bolt,75,67,100,84,100,56,Blackagar Boltagon,Marvel Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg,188,95
97,Black Canary,63,8,33,20,52,80,Laurel Lance,Dc Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg,170,59
98,Black Canary,63,8,33,15,45,80,Dinah Drake Lance,Dc Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/644.jpg,165,58
99,Black Cat,75,16,33,10,23,70,Felicia Hardy,Marvel Comics,Good,Female,Green,Blond,https://www.superherodb.com/pictures2/portraits/10/100/32.jpg,178,54
100,Black Flash,44,10,100,80,100,30,NA,Dc Comics,Neutral,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg,NA,NA
101,Black Goliath,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg,NA,NA
102,Black Knight Iii,63,10,8,70,43,70,Dane Whitman,Marvel Comics,Good,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/246.jpg,183,86
103,Black Lightning,50,11,53,28,70,75,Jefferson Pierce,Dc Comics,Good,Male,Brown,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg,185,90
104,Black Mamba,75,10,35,42,88,65,Tanya Sealy,Marvel Comics,Bad,Female,Green,Black,https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg,170,52
105,Black Manta,75,28,50,60,76,85,David,Dc Comics,Bad,Male,Black,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg,188,92
106,Black Panther,88,16,30,60,41,100,T'challa,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/247.jpg,183,90
107,Black Widow,75,13,33,30,36,100,Natasha Romanoff,Marvel Comics,Good,Female,Green,Auburn,https://www.superherodb.com/pictures2/portraits/10/100/248.jpg,170,59
108,Black Widow Ii,NA,48,NA,NA,NA,NA,Yelena Belova,Marvel Comics,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg,170,61
109,Blackout,63,32,45,80,45,65,NA,Marvel Comics,Bad,Male,Red,White,https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg,191,104
110,Blackwing,38,10,35,32,20,56,Joseph Manfredi,Marvel Comics,Bad,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg,185,86
111,Blackwulf,50,28,8,30,69,25,Lucian,Marvel Comics,NA,Male,Red,White,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg,188,88
112,Blade,63,28,38,50,40,90,Eric Brooks,Marvel Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/33.jpg,188,97
113,Blaquesmith,NA,NA,NA,NA,NA,NA,NA,Others,Good,NA,Black,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg,NA,NA
114,Bling!,69,14,12,90,52,28,Roxanne Washington,Marvel Comics,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg,168,68
115,Blink,50,8,20,28,77,64,Clarice Ferguson,Marvel Comics,Good,Female,Green,Others,https://www.superherodb.com/pictures2/portraits/10/100/35.jpg,165,56
116,Blizzard,NA,NA,NA,NA,NA,NA,Gregor Shapanka,Marvel Comics,Bad,Male,NA,Brown,https://www.superherodb.com/pictures2/portraits/10/100/899.jpg,NA,NA
117,Blizzard,NA,72,NA,NA,NA,NA,NA,Marvel Comics,Bad,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg,NA,NA
118,Blizzard Ii,38,10,27,42,47,56,Donald Gill,Marvel Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg,175,77
119,Blob,10,83,23,95,28,72,Frederick J. Dukes,Marvel Comics,Bad,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg,178,230
120,Bloodaxe,63,80,33,80,100,84,Jackie Lukus,Marvel Comics,Bad,Female,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg,218,495
121,Bloodhawk,50,10,50,80,80,64,Lemuel Krug,Marvel Comics,Good,Male,Black,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg,NA,NA
122,Bloodwraith,NA,72,NA,NA,NA,NA,Sean Dolan,Marvel Comics,Bad,Male,White,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg,NA,NA
123,Blue Beetle,NA,NA,NA,NA,NA,NA,Daniel Garrett,Dc Comics,Good,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg,NA,NA
124,Blue Beetle,NA,NA,NA,NA,NA,NA,NA,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg,NA,NA
125,Blue Beetle Ii,NA,45,NA,NA,NA,NA,Theodore Kord,Dc Comics,Good,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg,183,86
126,Blue Beetle Iii,50,34,58,80,100,30,Jaime Reyes,Dc Comics,Good,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg,NA,NA
127,Boba Fett,63,10,38,36,68,70,NA,George Lucas,Bad,Male,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg,183,NA
128,Bolt,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg,NA,NA
129,Bomb Queen,NA,73,NA,NA,NA,NA,NA,Image Comics,Bad,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg,NA,NA
130,Boom-Boom,38,10,12,42,57,64,Tabitha Smith,Others,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/400.jpg,165,55
131,Boomer,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Female,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg,NA,NA
132,Booster Gold,69,85,42,70,100,40,Michael Jon Carter,Dc Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/647.jpg,196,97
133,Box,NA,NA,NA,NA,NA,NA,Roger Bochs,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg,NA,NA
134,Box Iii,NA,NA,NA,NA,NA,NA,Dr. Walter Langowski,Marvel Comics,Good,NA,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/37.jpg,193,110
135,Box Iv,50,75,23,28,11,56,Madison Jeffries,Others,Good,NA,Brown,Dual Color,https://www.superherodb.com/pictures2/portraits/10/100/38.jpg,NA,NA
136,Brainiac,100,95,63,90,60,75,Vril Dox,Dc Comics,Bad,Male,Green,No Hair,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg,198,135
137,Brainiac 5,100,10,23,28,60,32,Querl Dox,Dc Comics,Good,Male,Green,Blond,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg,170,61
138,Brother Voodoo,NA,65,NA,NA,NA,NA,Jericho Drumm,Marvel Comics,Good,Male,Brown,Dual Color,https://www.superherodb.com/pictures2/portraits/10/100/39.jpg,183,99
139,Brundlefly,69,32,25,40,27,15,Seth Brundle,NA,NA,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg,193,NA
140,Buffy,63,28,42,70,48,60,Buffy Anne Summers,Dark Horse Comics,Good,Female,Green,Blond,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg,157,52
141,Bullseye,50,11,25,70,20,70,Lester,Marvel Comics,Bad,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/624.jpg,183,90
142,Bumblebee,63,28,25,10,47,35,Karen Beecher,Dc Comics,Good,Female,Brown,Black,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg,170,59
143,Bumbleboy,NA,NA,NA,NA,NA,NA,NA,Marvel Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg,NA,NA
144,Bushido,38,10,8,10,19,70,Ryuko Orsono,Dc Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg,NA,NA
145,Cable,88,48,23,56,100,80,Nathan Summers,Marvel Comics,Good,Male,Blue,White,https://www.superherodb.com/pictures2/portraits/10/100/40.jpg,203,158
146,Callisto,63,53,23,42,52,85,Callisto,Marvel Comics,Bad,Female,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg,175,74
147,Cameron Hicks,50,10,23,28,51,70,NA,Syfy,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/1528.jpg,NA,NA
148,Cannonball,50,28,67,99,94,56,Samuel Zachery Guthrie,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/272.jpg,183,81
149,Captain America,69,19,38,55,60,100,Steve Rogers,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/274.jpg,188,108
150,Captain Atom,81,93,83,90,100,80,Nathaniel Adam,Dc Comics,Good,Male,Blue,Silver,https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg,193,90
151,Captain Britain,75,77,50,60,31,80,Brian Braddock,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/276.jpg,198,116
152,Captain Cold,50,10,17,20,28,20,Leonard Snart,Dc Comics,Neutral,Male,Brown,Brown,https://www.superherodb.com/pictures2/portraits/10/100/653.jpg,NA,NA
153,Captain Epic,NA,NA,NA,NA,NA,NA,NA,Team Epic Tv,Good,Male,Blue,Brown,https://www.superherodb.com/pictures2/portraits/10/100/3.jpg,188,NA
154,Captain Hindsight,25,10,83,30,10,20,Jack Brolin,Others,Good,Male,NA,Black,https://www.superherodb.com/pictures2/portraits/10/100/10399.jpg,NA,NA
155,Captain Mar-Vell,NA,80,NA,NA,NA,NA,Mar-Vell,Marvel Comics,Good,Male,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/654.jpg,188,108
156,Captain Marvel,88,100,88,95,100,75,Billy Batson,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/278.jpg,193,101
157,Captain Marvel,84,88,71,95,100,90,Carol Danvers,Binary,Good,Female,Blue,Blond,https://www.superherodb.com/pictures2/portraits/10/100/103.jpg,180,74
158,Captain Marvel Ii,75,81,27,90,34,56,Frederick Christopher Freeman,Dc Comics,Good,Male,Blue,Black,https://www.superherodb.com/pictures2/portraits/10/100/279.jpg,175,74
159,Captain Midnight,NA,NA,NA,NA,NA,NA,NA,Dark Horse Comics,Good,Male,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/10443.jpg,NA,NA
160,Captain Planet,50,88,75,80,100,60,NA,Marvel Comics,Good,Male,Red,Green,https://www.superherodb.com/pictures2/portraits/10/100/1285.jpg,NA,NA
161,Captain Universe,NA,92,NA,NA,NA,NA,NA,Marvel Comics,Good,NA,NA,NA,https://www.superherodb.com/pictures2/portraits/10/100/855.jpg,NA,NA
162,Carnage,63,63,70,84,88,90,Cletus Kasady,Marvel Comics,Bad,Male,Green,Red,https://www.superherodb.com/pictures2/portraits/10/100/187.jpg,185,86
